Series_ID,Race_ID,Race_Name,Race_Date,Latitude,Longitude,TempMax,TempMin,Humidity,DewPoint,DewPoint_Comfort,HeatIndex,WindSpeed,Precipitation,CloudCover,Conditions
10254,77199,Black Canyon,2021-02-13,34.0656,-112.1521,68.3,48,52.1,38.3,Comfortable,,22.1,0.006,12.6,Rain
10254,84317,Black Canyon,2022-02-13,34.0656,-112.1521,79.1,49.1,18.5,16.7,Comfortable,,9.2,0,0,Clear
10254,93392,Black Canyon,2023-02-18,34.0656,-112.1521,69.3,50,24.8,23.2,Comfortable,,13.9,0,6.6,Clear
10254,104108,Black Canyon,2024-02-10,34.0656,-112.1521,55.6,42.8,73.1,39.3,Comfortable,,11.8,0.104,57.6,"Rain, Partially cloudy"
10254,115592,Black Canyon,2025-02-08,34.0656,-112.1521,73.8,51.9,44.7,40.4,Comfortable,77.3,6.9,0,0.2,Clear
50001,22,Bandera,2022-01-08,29.6485,-99.2001,61.1,42.5,93.2,50.5,Comfortable,,8.1,0.011,99.8,"Rain, Overcast"
50001,23,Bandera,2023-01-07,29.6485,-99.2001,73.7,62.2,80.5,60,Muggy,73.9,9.9,0.005,88.1,"Rain, Partially cloudy"
50001,24,Bandera,2024-01-13,29.6485,-99.2001,63.3,26.7,59.8,29.5,Comfortable,,13.1,0,0,Clear
50001,25,Bandera,2025-01-11,29.6485,-99.2001,56.6,22.9,65,26.2,Comfortable,,15,0,0,Clear
29669,126001,Chianti (UTCC),2024-03-23,43.4866,11.3744,63.8,43.4,79.2,48.4,Comfortable,,11.1,0,70.7,Partially cloudy
29669,126002,Chianti (UTCC),2025-03-22,43.4866,11.3744,56.2,50.1,80.2,47.7,Comfortable,,8.5,0.275,95.2,"Rain, Overcast"
141,141021,CCC,2021-08-27,45.7928,6.9716,73.8,42.7,70.8,42.1,Comfortable,75.6,14.6,0,48.9,Partially cloudy
141,141022,CCC,2022-08-26,45.7928,6.9716,68.1,50.5,82.1,51.1,Comfortable,,10.4,0.54,79.2,"Rain, Partially cloudy"
141,141023,CCC,2023-09-01,45.7928,6.9716,62.5,44.2,67.3,40.7,Comfortable,,14.6,0,31.4,Partially cloudy
141,141024,CCC,2024-08-30,45.7928,6.9716,69.5,53.8,57.7,44.5,Comfortable,,13.9,0,36.9,Partially cloudy
141,141025,CCC,2025-08-29,45.7928,6.9716,62.3,47.7,81.8,47.1,Comfortable,,9,0.439,75.4,"Rain, Partially cloudy"
37038,37338,Grindstone,2023-09-23,38.3584,-79.0836,60.5,52,95,54.2,Comfortable,,12.5,0.747,96.5,"Rain, Overcast"
37038,37438,Grindstone,2024-09-20,38.3584,-79.0836,80,58,84.1,60.4,Muggy,84.8,4.1,0,57.3,Partially cloudy
37038,37538,Grindstone,2025-09-19,38.3584,-79.0836,86.2,50.1,70.1,53.7,Comfortable,95.6,5.1,0,3.9,Clear
32444,23444,Nice Cote d Azur,2023-09-30,44.0931,7.0513,75.3,67.2,67.8,60.1,Muggy,77.1,8.6,0,44.2,Partially cloudy
32444,24444,Nice Cote d Azur,2024-10-04,44.0931,7.0513,67.8,58.6,80.8,55.2,Noticeable,,15,0.228,76.4,"Rain, Partially cloudy"
32444,25444,Nice Cote d Azur,2025-09-27,44.0931,7.0513,54.6,37.5,71.4,35.6,Comfortable,,9.1,0,20.3,Partially cloudy
895,89521,Tarawera,2021-02-13,-38.0961,176.7072,72.9,57.5,70.1,55.5,Noticeable,75.1,8.7,0,36.3,Partially cloudy
