Series_ID,Race Name,Race_Class,distance_mi,elevation_gain_ft,elevation_loss_ft,max_elev_ft,min_elev_ft,elevation_range_ft,avg_grade_pct,altitude_exposure_mi,latitude,longitude,difficulty_index
623,Festival Des Templiers,100K,63.29,23405,23290,2949,1178,1772,7,0,44.11377,3.08704,100
25273,Doi Inthanon,100M,106.88,36188,36135,6769,973,5796,6.41,39.6,18.48738,98.66666,94
142,UTMB,100M,108.69,34480,34477,8325,2658,5667,6.01,85.4,45.923539,6.869039,87
141,CCC,100K,62.53,20049,20640,8406,3408,4999,6.07,57.78,45.792841,6.971575,86
29669,Chianti,100K,74.92,19800,19798,2957,949,2008,5.01,0,43.486612,11.374433,67
32444,Nice Cote D Azur,100K,68.07,15854,20222,6071,12,6059,4.41,19.92,44.093119,7.051349,57
3753,The Canyons,100K,61.7,13620,17367,5017,547,4470,4.18,8.55,39.151387,-120.676731,52
17002,Western States,100M,100.81,20386,25325,8696,533,8163,3.83,47.33,39.195617,-120.236341,49
895,Tarawera,100K,63.69,11149,10348,2396,130,2267,3.32,0,-38.096145,176.707157,37
37038,Grindstone,100K,65.71,11043,11043,4331,1329,3002,3.18,1.25,38.35837,-79.08363,35
50001,Bandera,100K,62.64,6821,6896,1998,1401,597,2.06,0,29.648547,-99.200051,16
10254,Black Canyon,100K,62.93,5605,7726,4190,1741,2450,1.69,4.53,34.3476,-112.15755,10
12057,Javelina Jundred,100M,98.43,6626,6626,2482,1625,857,1.27,0,33.67282,-111.7017,5
