Series_ID,Race_Name,Race_Class,distance_mi,elevation_gain_ft,elevation_loss_ft,max_elev_ft,min_elev_ft,elevation_range_ft,avg_grade_pct,altitude_exposure_mi,major_climb_count,longest_climb_ft,latitude,longitude,distance_km,gain_m,loss_m,altitude_exposure_km,effort_km,Difficulty_Index,Log_Scale,Category
142,UTMB,100M,108.69,32155,32173,8325,2658,5667,5.6,37.38,52,4339,45.923539,6.869039,174.92,9801,9806,60.16,431.1,100,105,Extreme
25273,Doi Inthanon,100M,106.88,28349,28285,6769,973,5796,5.02,2.4,51,4092,18.48738,98.66666,172.01,8641,8621,3.86,348.5,80.8,86.452655,Extreme
17002,Western States,100M,100.81,16075,20993,8696,533,8163,3.02,31.18,30,2449,39.195617,-120.236341,162.24,4900,6399,50.18,325.4,75.5,80.515846,Extreme
141,CCC,100K,62.53,19020,19617,8406,3408,4999,5.76,23.83,14,1469,45.792841,6.971575,100.63,5797,5979,38.35,256.7,59.5,60.178317,Hard
32444,Nice Cote d'Azur,100K,68.07,15655,20025,6071,12,6059,4.36,0.55,24,2837,44.093119,7.051349,109.55,4772,6104,0.89,219.2,50.8,46.822847,Hard
45236,The Georgia Death Race,100K,74.38,15866,16283,4331,1647,2684,4.04,0,15,2392,34.765919,-83.924176,119.7,4836,4963,0,217.7,50.5,46.245958,Hard
29669,Chianti,100K,74.92,15662,15744,2957,949,2008,3.96,0,22,768,43.486612,11.374433,120.57,4774,4799,0,216.3,50.2,45.704235,Hard
12057,Javelina Jundred,100M,98.43,5190,5194,2482,1625,857,1,0,0,355,33.67282,-111.7017,158.41,1582,1583,0,190.1,44.1,34.9271,Moderate
623,Templiers,100K,63.29,14177,14052,2949,1178,1772,4.24,0,25,1562,44.11377,3.08704,101.86,4321,4283,0,187.9,43.6,33.961767,Moderate
29758,Sean O Brien 100k,100K,62.87,13164,13146,2395,66,2329,3.97,0,25,1711,34.09644,-118.71648,101.18,4012,4007,0,181.4,42.1,31.048804,Moderate
3753,The Canyons,100K,61.7,11166,14923,5017,547,4470,3.43,0,20,1805,39.151387,-120.676731,99.3,3403,4549,0,178.8,41.5,29.857207,Moderate
74589,Gorge Waterfalls 100k,100K,64.57,11268,11251,1519,30,1490,3.31,0,19,1401,45.576702,-122.127899,103.92,3434,3429,0,172.6,40,26.95162,Moderate
37038,Grindstone,100K,65.71,9843,9839,4331,1329,3002,2.84,0,14,1096,38.35837,-79.08363,105.75,3000,2999,0,165.7,38.4,23.605914,Moderate
895,Tarawera,100K,63.69,7389,6630,2396,130,2267,2.2,0,11,981,-38.096145,176.707157,102.5,2252,2021,0,145.2,33.7,12.878573,Easy
50001,Bandera,100K,62.64,6778,6854,1998,1401,597,2.05,0,6,322,29.648547,-99.200051,100.81,2066,2089,0,142.4,33,11.310914,Easy
10254,Black Canyon,100K,62.93,4501,6634,4190,1741,2450,1.35,0,5,645,34.3476,-112.15755,101.28,1372,2022,0,135.2,31.4,7.152256,Easy
50487,Lake Sonoma 50,50M,50.49,8265,8249,1163,232,931,3.1,0,16,700,38.71782,-122.998,81.26,2519,2514,0,131.6,30.5,5,Easy
