Race_ID,Series_ID,Race_Date,Race_Name,Actual_Dist,Diff_Index,Gender,Ticket_Position,Name,Nationality,Age_Category,Gender_Rank,WS_Date,WS_Year,WS_ID,WS_Finisher_Flag,WS_DNF_Flag,WS_DNS_Flag,GT_Finish_Time,GT_Pace,WS_Finish_Time,WS_Pace,WS_Gender_Rank,Num_WS_Finish,Days_to_WS
16,50001,1/9/2016,Bandera,62.64,33,M,1,jim walmsley,USA,20-34,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.324039352,7:26,0.781666667,11:15,19,0,168
16,50001,1/9/2016,Bandera,62.64,33,M,2,christopher denucci,USA,35-39,2,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.337893519,7:46,0.713854167,10:17,9,1,168
16,50001,1/9/2016,Bandera,62.64,33,F,1,janessa taylor,USA,35-39,2,6/25/2016,2016,34773,FALSE,FALSE,TRUE,0.403159722,9:16,,,,0,168
16,50001,1/9/2016,Bandera,62.64,33,F,2,michele yates,USA,20-34,3,6/25/2016,2016,34773,FALSE,TRUE,FALSE,0.406863426,9:21,,,,0,168
17,50001,1/7/2017,Bandera,62.64,33,F,1,stephanie howe violett,USA,20-34,1,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.380960648,8:45,0.953078704,13:43,34,2,168
17,50001,1/7/2017,Bandera,62.64,33,M,1,jeff ball,USA,20-34,2,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.39005787,8:58,0.960543981,13:50,39,0,168
17,50001,1/7/2017,Bandera,62.64,33,F,2,camille herron,USA,35-39,2,6/24/2017,2017,41765,FALSE,TRUE,FALSE,0.395787037,9:05,,,,0,168
17,50001,1/7/2017,Bandera,62.64,33,M,2,joel frost-tift,USA,20-34,3,6/24/2017,2017,41765,TRUE,FALSE,FALSE,0.398530093,9:09,1.153518519,16:37,108,0,168
18,50001,1/6/2018,Bandera,62.64,33,M,1,mario mendoza,USA,20-34,1,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.338715278,7:47,0.773043981,11:08,15,0,168
18,50001,1/6/2018,Bandera,62.64,33,M,2,cody reed,USA,20-34,2,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.350416667,8:03,0.704733796,10:09,7,0,168
18,50001,1/6/2018,Bandera,62.64,33,F,1,anna hailey,USA,35-39,3,6/23/2018,2018,51243,TRUE,FALSE,FALSE,0.49224537,11:18,1.049479167,15:07,26,0,168
19,50001,1/5/2019,Bandera,62.64,33,M,1,tyler green,USA,20-34,1,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.35181713,8:05,0.695509259,10:01,14,0,175
19,50001,1/5/2019,Bandera,62.64,33,F,1,brittany peterson,USA,20-34,1,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.393738426,9:03,0.732280093,10:33,2,0,175
19,50001,1/5/2019,Bandera,62.64,33,M,2,chris mocko,USA,20-34,2,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.352106481,8:05,0.687175926,9:54,12,2,175
19,50001,1/5/2019,Bandera,62.64,33,F,2,ladia albertson-junkans,USA,20-34,2,6/29/2019,2019,61359,TRUE,FALSE,FALSE,0.401203704,9:13,1.111134259,16:00,31,0,175
20,50001,1/11/2020,Bandera,62.64,33,M,1,drew holmen,USA,20-34,1,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.342534722,7:52,0.682743056,9:50,3,0,532
20,50001,1/11/2020,Bandera,62.64,33,F,1,ailsa macdonald,CAN,35-39,1,6/26/2021,2021,79446,FALSE,FALSE,TRUE,0.386550926,8:53,,,,1,532
20,50001,1/11/2020,Bandera,62.64,33,M,2,alex nichols,USA,20-34,2,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.343344907,7:53,0.773078704,11:08,10,1,532
20,50001,1/11/2020,Bandera,62.64,33,F,2,michelle magagna,USA,20-34,2,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.405277778,9:19,0.854155093,12:18,11,0,532
21,50001,1/9/2021,Bandera,62.64,33,M,1,ryan miller,USA,20-34,1,6/26/2021,2021,79446,FALSE,TRUE,FALSE,0.34037037,7:49,,,,0,168
21,50001,1/9/2021,Bandera,62.64,33,F,1,katie asmuth,USA,20-34,1,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.392361111,9:01,0.76625,11:02,5,0,168
21,50001,1/9/2021,Bandera,62.64,33,M,2,cody lind,USA,20-34,2,6/26/2021,2021,79446,TRUE,FALSE,FALSE,0.342731481,7:52,0.701157407,10:06,4,0,168
21,50001,1/9/2021,Bandera,62.64,33,F,1,erin clark,USA,20-34,2,6/26/2021,2021,79446,FALSE,TRUE,FALSE,0.399386574,9:10,,,,0,168
22,50001,1/8/2022,Bandera,62.64,33,M,1,jonathan rea,USA,20-34,1,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.340277778,7:49,0.786342593,11:19,16,0,168
22,50001,1/8/2022,Bandera,62.64,33,F,1,marianne hogan,CAN,20-34,1,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.386875,8:53,0.754027778,10:51,3,0,168
22,50001,1/8/2022,Bandera,62.64,33,M,2,tyler fox,USA,20-34,2,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.343668981,7:54,0.825775463,11:53,19,0,168
22,50001,1/8/2022,Bandera,62.64,33,F,2,ellie pell,USA,20-34,2,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.409166667,9:24,0.900833333,12:58,14,0,168
23,50001,1/7/2023,Bandera,62.64,33,M,1,jeffrey colt,USA,20-34,1,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.349930556,8:02,0.654270833,9:25,8,1,168
23,50001,1/7/2023,Bandera,62.64,33,F,1,courtney dauwalter,USA,35-39,1,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.374733796,8:36,0.645520833,9:18,1,1,168
23,50001,1/7/2023,Bandera,62.64,33,M,2,jp giblin,USA,20-34,2,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.353564815,8:07,0.718773148,10:21,18,0,168
23,50001,1/7/2023,Bandera,62.64,33,F,2,nicole bitter,USA,40-44,2,6/24/2023,2023,97204,FALSE,TRUE,FALSE,0.419479167,9:38,,,,6,168
14221,142,8/27/2021,UTMB,108.69,100,F,1,courtney dauwalter,USA,35-39,1,6/25/2022,2022,87878,FALSE,FALSE,TRUE,0.938125,12:25,,,,1,302
14221,142,8/27/2021,UTMB,108.69,100,F,2,camille bruyas,FRA,20-34,2,6/25/2022,2022,87878,TRUE,FALSE,FALSE,1.006736111,13:20,0.815555556,11:45,10,0,302
14221,142,8/27/2021,UTMB,108.69,100,M,1,ludovic pommeret,FRA,45-49,4,6/25/2022,2022,87878,TRUE,FALSE,FALSE,0.901898148,11:56,0.680578704,9:48,6,0,302
14222,142,8/26/2022,UTMB,108.69,100,F,1,katie schide,USA,20-34,1,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.968888889,12:50,0.697048611,10:02,2,0,302
14222,142,8/26/2022,UTMB,108.69,100,M,1,mathieu blanchard,FRA,35-39,2,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.82974537,10:59,0.650717593,9:22,6,0,302
14222,142,8/26/2022,UTMB,108.69,100,M,2,tom evans,GBR,20-34,3,6/24/2023,2023,97204,TRUE,FALSE,FALSE,20:34:35,11:21,0.611365741,8:48,1,1,302
14222,142,8/26/2022,UTMB,108.69,100,F,2,eszter csillag,HUN,35-39,5,6/24/2023,2023,97204,TRUE,FALSE,FALSE,1.106006944,14:39,0.713831019,10:17,3,0,302
23444,32444,9/30/2023,Nice Cote d Azur,68.07,50.8,M,1,jim walmsley,USA,20-34,1,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.472974537,10:00,0.592881944,8:32,1,4,273
23444,32444,9/30/2023,Nice Cote d Azur,68.07,50.8,F,1,eleanor davis,GBR,35-39,1,6/29/2024,2024,108752,FALSE,TRUE,FALSE,0.575925926,12:11,,,,0,273
23444,32444,9/30/2023,Nice Cote d Azur,68.07,50.8,M,2,simon gosselin,FRA,20-34,2,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.490613426,10:22,0.711261574,10:15,16,0,273
23444,32444,9/30/2023,Nice Cote d Azur,68.07,50.8,F,2,giulia vinco,ITA,20-34,3,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.645115741,13:38,0.865740741,12:28,19,0,273
25073,25273,12/9/2022,Doi Inthanon,106.88,80.8,M,1,jiaju zhao,CHN,20-34,1,6/24/2023,2023,97204,FALSE,TRUE,FALSE,0.912372685,12:17,,,,0,197
25073,25273,12/9/2022,Doi Inthanon,106.88,80.8,F,1,jenny quilty,CAN,20-34,1,6/24/2023,2023,97204,TRUE,FALSE,FALSE,1.141828704,15:23,0.784178241,11:18,11,0,197
25073,25273,12/9/2022,Doi Inthanon,106.88,80.8,M,2,canhua luo,CHN,20-34,2,6/24/2023,2023,97204,TRUE,FALSE,FALSE,0.924872685,12:27,0.724467593,10:26,19,0,197
25073,25273,12/9/2022,Doi Inthanon,106.88,80.8,F,2,wenfei xie,CHN,40-44,2,6/24/2023,2023,97204,TRUE,FALSE,FALSE,1.182094907,15:55,0.990729167,14:16,22,0,197
25373,25273,12/8/2023,Doi Inthanon,106.88,80.8,M,1,ji duo,CHN,20-34,1,6/29/2024,2024,108752,TRUE,FALSE,FALSE,0.999178241,13:27,0.649652778,9:21,12,0,204
25373,25273,12/8/2023,Doi Inthanon,106.88,80.8,F,1,lin chen,CHN,20-34,1,6/29/2024,2024,108752,FALSE,TRUE,FALSE,1.253645833,16:53,,,,0,204
25373,25273,12/8/2023,Doi Inthanon,106.88,80.8,F,2,anna li,CHN,20-34,2,6/29/2024,2024,108752,FALSE,TRUE,FALSE,1.257800926,16:56,,,,0,204
25373,25273,12/8/2023,Doi Inthanon,106.88,80.8,M,2,robert hajnal,ROU,20-34,4,6/29/2024,2024,108752,TRUE,FALSE,FALSE,1.124861111,15:09,0.796400463,11:28,24,0,204
27160,50487,4/9/2016,Lake Sonoma 50M,50.49,30.5,F,1,yiou wang,USA,20-34,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.301909722,8:36,0.927824074,13:22,13,0,77
27160,50487,4/9/2016,Lake Sonoma 50M,50.49,30.5,M,1,tim freriks,USA,20-34,2,6/25/2016,2016,34773,FALSE,FALSE,TRUE,0.262476852,7:29,,,,0,77
27160,50487,4/9/2016,Lake Sonoma 50M,50.49,30.5,M,2,mario mendoza,USA,20-34,3,6/25/2016,2016,34773,FALSE,TRUE,FALSE,0.271342593,7:44,,,,0,77
27160,50487,4/9/2016,Lake Sonoma 50M,50.49,30.5,F,2,anna mae flynn,USA,20-34,3,6/25/2016,2016,34773,FALSE,TRUE,FALSE,0.311365741,8:52,,,,0,77
33769,29758,2/6/2016,Sean O'Brien 100K,62,42.1,M,1,stephen wassather,USA,20-34,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.400949074,9:18,0.793298611,11:25,20,1,140
33769,29758,2/6/2016,Sean O'Brien 100K,62,42.1,F,1,devon yanko,USA,20-34,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.435439815,10:06,0.798703704,11:30,3,0,140
33769,29758,2/6/2016,Sean O'Brien 100K,62,42.1,M,2,jesse haynes,USA,40-44,2,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.413449074,9:36,0.717013889,10:19,10,2,140
33769,29758,2/6/2016,Sean O'Brien 100K,62,42.1,F,2,amelia boone,USA,20-34,2,6/25/2016,2016,34773,FALSE,FALSE,TRUE,0.445960648,10:21,,,,0,140
34087,10254,2/13/2016,Black Canyon,62.93,31.4,M,1,sage canaday,USA,20-34,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.328078704,7:30,0.719444444,10:22,11,0,133
34087,10254,2/13/2016,Black Canyon,62.93,31.4,F,1,amy sproston,USA,40-44,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.423310185,9:41,0.788009259,11:21,2,3,133
34087,10254,2/13/2016,Black Canyon,62.93,31.4,M,2,charlie ware,USA,20-34,2,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.362037037,8:17,0.846273148,12:11,32,0,133
34087,10254,2/13/2016,Black Canyon,62.93,31.4,F,2,denise bourassa,USA,45-49,2,6/25/2016,2016,34773,FALSE,FALSE,TRUE,0.439375,10:03,,,,4,133
34211,45236,3/19/2016,Georgia Death Race,74.38,50.5,M,1,andrew miller,USA,20-34,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.488090278,9:26,0.6525,9:24,1,0,98
34211,45236,3/19/2016,Georgia Death Race,74.38,50.5,F,1,bethany patterson,USA,35-39,1,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.603622685,11:41,0.861597222,12:24,7,0,98
34211,45236,3/19/2016,Georgia Death Race,74.38,50.5,M,2,caleb denton,USA,20-34,2,6/25/2016,2016,34773,FALSE,TRUE,FALSE,0.501793981,9:42,,,,0,98
34211,45236,3/19/2016,Georgia Death Race,74.38,50.5,F,2,maggie guterl,USA,35-39,2,6/25/2016,2016,34773,TRUE,FALSE,FALSE,0.6128125,11:51,0.868136574,12:30,8,0,98
