Series_ID,Race Name,Difficulty_Index,Race_Class
142,UTMB,100,100M
25273,Doi Inthanon,80.8,100M
17002,Western States,75.5,100M
141,CCC,59.5,100K
32444,Nice Cote D Azur,50.8,100K
45236,The Georgia Death Race,50.5,100K
29669,Chianti,50.2,100K
12057,Javelina Jundred,44.1,100M
623,Festival Des Templiers,43.6,100K
29758,Sean O'Brien 100K,42.1,100K
3753,The Canyons,41.5,100K
74589,Gorge WaterFalls 100K,40,100K
37038,Grindstone,38.4,100K
895,Tarawera,33.7,100K
50001,Bandera,33,100K
10254,Black Canyon,31.4,100K
50487,Lake Sonoma,30.5,50M
