Athlete_Name,Athlete_Gender,Age,Age_Group,Nationality,Race_Name,Original_Year,Original_Gender_Rank,Original_Time,Next_Year,Next_Gender_Rank,Next_Time,Next_Status,Num_WS_Finishes
rob krar,M,,,,Western States,2015,1,0.617349537,2016,,,DNS,
seth swanson,M,,,,Western States,2015,2,0.63712963,2016,,,DNS,2
jared hazen,M,,,,Western States,2015,3,0.651053241,2016,,,DNS,
gediminas grinius,M,,,,Western States,2015,4,0.653298611,2016,,,DNS,
thomas lorblanchet,M,36,35-39,FRA,Western States,2015,5,0.664259259,2016,4,0.694386574,Finisher,1
julien chorier,M,,,,Western States,2015,6,0.690775463,2016,,,DNS,
ian sharman,M,35,35-39,USA,Western States,2015,7,0.697534722,2016,6,0.704988426,Finisher,6
david laney,M,27,20-34,USA,Western States,2015,8,0.709456019,2016,30,0.838136574,Finisher,2
andrew tuckey,M,40,40-44,GBR,Western States,2015,9,0.721724537,2016,15,0.753900463,Finisher,1
paul terranova,M,42,40-44,USA,Western States,2015,10,0.738391204,2016,16,0.770266204,Finisher,4
magdalena boulet,F,42,40-44,USA,Western States,2015,1,0.795381944,2016,,,DNF,1
kaci lickteig,F,29,20-34,USA,Western States,2015,2,0.805914352,2016,1,0.748599537,Finisher,2
stephanie howe,F,,,,Western States,2015,3,0.814560185,2016,,,DNS,2
aliza lapierre,F,36,35-39,USA,Western States,2015,4,0.821782407,2016,,,DNF,4
emma roca,F,,,,Western States,2015,5,0.841666667,2016,,,DNS,
nicole bitter,F,34,20-34,USA,Western States,2015,6,0.847175926,2016,,,DNF,1
sally mcrae,F,37,35-39,USA,Western States,2015,7,0.852465278,2016,11,0.910717593,Finisher,2
caroline boller,F,41,40-44,USA,Western States,2015,8,0.90568287,2016,12,0.921423611,Finisher,1
erika hoagland,F,34,20-34,USA,Western States,2015,9,0.907928241,2016,10,0.880324074,Finisher,4
nikki kimball,F,,,,Western States,2015,10,0.917997685,2016,,,DNS,
andrew miller,M,,,,Western States,2016,1,0.6525,2017,,,DNS,
didrik hermansen,M,,,,Western States,2016,2,0.67787037,2017,,,DNS,
jeff browning,M,45,45-49,USA,Western States,2016,3,0.687962963,2017,4,0.730625,Finisher,2
thomas lorblanchet,M,37,35-39,FRA,Western States,2016,4,0.694386574,2017,43,0.969189815,Finisher,2
paul giblin,M,39,35-39,GBR,Western States,2016,5,0.703703704,2017,9,0.749375,Finisher,1
ian sharman,M,36,35-39,USA,Western States,2016,6,0.704988426,2017,7,0.737569444,Finisher,2
chris mocko,M,31,20-34,USA,Western States,2016,7,0.709571759,2017,46,0.973969907,Finisher,1
kyle pietari,M,30,20-34,USA,Western States,2016,8,0.71181713,2017,10,0.758148148,Finisher,1
christopher denucci,M,37,35-39,USA,Western States,2016,9,0.713854167,2017,5,0.733460648,Finisher,1
jesse haynes,M,44,40-44,USA,Western States,2016,10,0.717013889,2017,8,0.739155093,Finisher,3
kaci lickteig,F,30,20-34,USA,Western States,2016,1,0.748599537,2017,16,1.001597222,Finisher,3
amy sproston,F,43,40-44,USA,Western States,2016,2,0.788009259,2017,,,DNF,4
devon yanko,F,,,,Western States,2016,3,0.798703704,2017,,,DNS,
amanda basham,F,27,20-34,USA,Western States,2016,4,0.841423611,2017,,,DNF,1
alissa st laurent,F,32,20-34,CAN,Western States,2016,5,0.852210648,2017,,,DNF,2
meghan canfield,F,56,55-59,USA,Western States,2016,6,0.854293981,2017,9,0.9146875,Finisher,10
bethany patterson,F,,,,Western States,2016,7,0.861597222,2017,,,DNS,
maggie guterl,F,36,35-39,USA,Western States,2016,8,0.868136574,2017,25,1.140428241,Finisher,1
jodee adams-moore,F,,,,Western States,2016,9,0.871458333,2017,,,DNS,
erika hoagland,F,,,,Western States,2016,10,0.880324074,2017,,,DNS,
ryan sandes,M,,,,Western States,2017,1,0.680289352,2018,,,DNS,
alex nichols,M,,,,Western States,2017,2,0.700266204,2018,,,DNS,
mark hammond,M,33,20-34,USA,Western States,2017,3,0.7034375,2018,3,0.672905093,Finisher,1
jeff browning,M,46,45-49,USA,Western States,2017,4,0.730625,2018,5,0.698252315,Finisher,3
christopher denucci,M,,,,Western States,2017,5,0.733460648,2018,,,DNS,
avery collins,M,,,,Western States,2017,6,0.734155093,2018,,,DNS,
ian sharman,M,37,35-39,USA,Western States,2017,7,0.737569444,2018,4,0.683009259,Finisher,8
jesse haynes,M,45,45-49,USA,Western States,2017,8,0.739155093,2018,20,0.811412037,Finisher,4
paul giblin,M,40,40-44,GBR,Western States,2017,9,0.749375,2018,9,0.715034722,Finisher,2
kyle pietari,M,31,20-34,USA,Western States,2017,10,0.758148148,2018,6,0.70443287,Finisher,2
cat bradley,F,,,,Western States,2017,1,0.813541667,2018,,,DNS,
magdalena boulet,F,,,,Western States,2017,2,0.825868056,2018,,,DNS,
sabrina stanley,F,,,,Western States,2017,3,0.841446759,2018,,,DNS,
