Series_ID,Race_ID,Race_Name,Race_Date,Year,WS_ID,Golden_Ticket
50001,22,Bandera,1/8/2022,2022,2022,TRUE
50001,23,Bandera,1/7/2023,2023,2023,TRUE
50001,24,Bandera,1/13/2024,2024,,FALSE
50001,25,Bandera,1/11/2025,2025,,FALSE
10254,77199,Black Canyon,2/13/2021,2021,,FALSE
10254,84317,Black Canyon,2/13/2022,2022,2022,TRUE
10254,93392,Black Canyon,2/18/2023,2023,2023,TRUE
10254,104108,Black Canyon,2/10/2024,2024,2024,TRUE
10254,115592,Black Canyon,2/8/2025,2025,2025,TRUE
141,141023,CCC,9/1/2023,2023,2024,TRUE
141,141021,CCC,8/27/2021,2021,,FALSE
141,141022,CCC,8/26/2022,2022,,FALSE
141,141024,CCC,8/30/2024,2024,2025,TRUE
141,141025,CCC,8/29/2025,2025,,FALSE
29669,126001,Chianti (UTCC),3/23/2024,2024,,FALSE
29669,126002,Chianti (UTCC),3/22/2025,2025,2025,TRUE
25273,25073,Doi Inthanon,12/9/2022,2022,2023,TRUE
25273,25373,Doi Inthanon,12/8/2023,2023,2024,TRUE
25273,25473,Doi Inthanon,12/6/2024,2024,,FALSE
37038,37438,Grindstone,9/20/2024,2024,,FALSE
37038,37538,Grindstone,9/19/2025,2025,,FALSE
37038,37338,Grindstone,9/23/2023,2023,2024,TRUE
12057,81876,Javelina,10/30/2021,2021,2022,TRUE
12057,90708,Javelina,10/29/2022,2022,2023,TRUE
12057,99186,Javelina,10/28/2023,2023,2024,TRUE
12057,112165,Javelina,10/26/2024,2024,2025,TRUE
12057,122877,Javelina,10/25/2025,2025,2026,TRUE
32444,24444,Nice Cote d Azur,10/4/2024,2024,,FALSE
32444,25444,Nice Cote d Azur,9/27/2025,2025,,FALSE
32444,23444,Nice Cote d Azur,9/30/2023,2023,2024,TRUE
895,89521,Tarawera,2/13/2021,2021,,FALSE
895,89524,Tarawera,2/17/2024,2024,,FALSE
895,89523,Tarawera,2/11/2023,2023,2023,TRUE
895,89525,Tarawera,2/15/2025,2025,2025,TRUE
3753,37541,The Canyons,4/24/2021,2021,2021,TRUE
3753,37542,The Canyons,4/23/2022,2022,2022,TRUE
3753,37543,The Canyons,4/28/2023,2023,2023,TRUE
3753,37544,The Canyons,4/27/2024,2024,2024,TRUE
3753,73545,The Canyons,4/26/2025,2025,2025,TRUE
142,14223,UTMB,9/1/2023,2023,,FALSE
142,14224,UTMB,8/30/2024,2024,,FALSE
142,14225,UTMB,8/29/2025,2025,,FALSE
142,14221,UTMB,8/27/2021,2021,2022,TRUE
142,14222,UTMB,8/26/2022,2022,2023,TRUE
17002,79446,Western States,6/26/2021,2021,,FALSE
17002,87878,Western States,6/25/2022,2022,,FALSE
17002,97204,Western States,6/24/2023,2023,,FALSE
17002,108752,Western States,6/29/2024,2024,,FALSE
17002,119682,Western States,6/28/2025,2025,,FALSE
17002,112625,Western States,6/27/2026,2026,,FALSE
