runner_name,original_gender,original_race,original_year,original_rank,original_time,next_year,next_rank,next_time,next_status
pam smith,F,Western States,2013,1,0.775937500000000,2014,4,0.799097222222222,Finisher
nikki kimball,F,Western States,2013,2,0.806747685185185,2014,5,0.827442129629630,Finisher
amy sproston,F,Western States,2013,3,0.809155092592593,,,,DNS
meghan canfield,F,Western States,2013,4,0.813078703703704,2014,8,0.885277777777778,Finisher
rory bosio,F,Western States,2013,5,0.827881944444444,,,,DNS
aliza lapierre,F,Western States,2013,6,0.836643518518518,,,,DNS
emily torrence,F,Western States,2013,7,0.853240740740741,2014,,,DNF
denise bourassa,F,Western States,2013,8,0.905983796296296,2014,7,0.846875000000000,Finisher
leila wiencek,F,Western States,2013,9,0.916273148148148,2014,,,DNF
abby mcqueeney penamonte,F,Western States,2013,10,0.942002314814815,,,,DNS
timothy olson,M,Western States,2013,1,0.637118055555556,,,,DNS
rob krar,M,Western States,2013,2,0.640335648148148,2014,1,0.620393518518519,Finisher
mike morton,M,Western States,2013,3,0.656493055555556,2014,,,DNF
ian sharman,M,Western States,2013,4,0.680844907407407,2014,6,0.658217592592593,Finisher
dylan bowman,M,Western States,2013,5,0.689097222222222,2014,3,0.650474537037037,Finisher
nick clark,M,Western States,2013,6,0.705821759259259,2014,40,0.875856481481481,Finisher
jesse haynes,M,Western States,2013,7,0.739305555555556,2014,10,0.692152777777778,Finisher
paul terranova,M,Western States,2013,8,0.747557870370370,2014,13,0.726388888888889,Finisher
yassine diboun,M,Western States,2013,9,0.780578703703704,2014,15,0.737245370370370,Finisher
karl meltzer,M,Western States,2013,10,0.786053240740741,2014,,,DNF
stephanie howe,F,Western States,2014,1,0.751180555555556,2015,3,0.814560185185185,Finisher
larisa dannis,F,Western States,2014,2,0.770347222222222,,,,DNS
mauclair nathalie,F,Western States,2014,3,0.780520833333333,,,,DNS
pam smith,F,Western States,2014,4,0.799097222222222,2015,13,0.948831018518518,Finisher
nikki kimball,F,Western States,2014,5,0.827442129629630,2015,10,0.917997685185185,Finisher
kaci lickteig,F,Western States,2014,6,0.838310185185185,2015,2,0.805914351851852,Finisher
denise bourassa,F,Western States,2014,7,0.846875000000000,2015,17,0.987280092592593,Finisher
meghan canfield,F,Western States,2014,8,0.885277777777778,2015,12,0.942210648148148,Finisher
shaheen henderson,F,Western States,2014,9,0.889456018518519,2015,,,DNF
sally mcrae,F,Western States,2014,10,0.892164351851852,2015,7,0.852465277777778,Finisher
rob krar,M,Western States,2014,1,0.620393518518519,2015,1,0.617349537037037,Finisher
seth swanson,M,Western States,2014,2,0.638645833333333,2015,2,0.637129629629630,Finisher
dylan bowman,M,Western States,2014,3,0.650474537037037,2015,,,DNF
max king,M,Western States,2014,4,0.656076388888889,,,,DNS
ryan sandes,M,Western States,2014,5,0.657627314814815,,,,DNS
ian sharman,M,Western States,2014,6,0.658217592592593,2015,7,0.697534722222222,Finisher
alex varner,M,Western States,2014,7,0.662291666666667,2015,,,DNF
brendan davies,M,Western States,2014,8,0.664456018518519,2015,33,0.907662037037037,Finisher
brett rivers,M,Western States,2014,9,0.680625000000000,2015,31,0.883634259259259,Finisher
jesse haynes,M,Western States,2014,10,0.692152777777778,2015,,,DNF
magdalena boulet,F,Western States,2015,1,0.795381944444444,2016,,,DNF
kaci lickteig,F,Western States,2015,2,0.805914351851852,2016,1,0.748599537037037,Finisher
stephanie howe,F,Western States,2015,3,0.814560185185185,,,,DNS
aliza lapierre,F,Western States,2015,4,0.821782407407407,2016,,,DNF
emma roca,F,Western States,2015,5,0.841666666666667,,,,DNS
nicole bitter,F,Western States,2015,6,0.847175925925926,2016,,,DNF
sally mcrae,F,Western States,2015,7,0.852465277777778,2016,11,0.910717592592593,Finisher
caroline boller,F,Western States,2015,8,0.905682870370370,2016,12,0.921423611111111,Finisher
erika hoagland,F,Western States,2015,9,0.907928240740741,2016,10,0.880324074074074,Finisher
nikki kimball,F,Western States,2015,10,0.917997685185185,,,,DNS
rob krar,M,Western States,2015,1,0.617349537037037,,,,DNS
seth swanson,M,Western States,2015,2,0.637129629629630,,,,DNS
jared hazen,M,Western States,2015,3,0.651053240740741,,,,DNS
gediminas grinius,M,Western States,2015,4,0.653298611111111,,,,DNS
thomas lorblanchet,M,Western States,2015,5,0.664259259259259,2016,4,0.694386574074074,Finisher
julien chorier,M,Western States,2015,6,0.690775462962963,,,,DNS
ian sharman,M,Western States,2015,7,0.697534722222222,2016,6,0.704988425925926,Finisher
david laney,M,Western States,2015,8,0.709456018518518,2016,30,0.838136574074074,Finisher
andrew tuckey,M,Western States,2015,9,0.721724537037037,2016,15,0.753900462962963,Finisher
paul terranova,M,Western States,2015,10,0.738391203703704,2016,16,0.770266203703704,Finisher
kaci lickteig,F,Western States,2016,1,0.748599537037037,2017,16,1.001597222222220,Finisher
amy sproston,F,Western States,2016,2,0.788009259259259,2017,,,DNF
devon yanko,F,Western States,2016,3,0.798703703703704,,,,DNS
amanda basham,F,Western States,2016,4,0.841423611111111,2017,,,DNF
alissa st laurent,F,Western States,2016,5,0.852210648148148,2017,,,DNF
meghan canfield,F,Western States,2016,6,0.854293981481482,2017,9,0.914687500000000,Finisher
bethany patterson,F,Western States,2016,7,0.861597222222222,,,,DNS
maggie guterl,F,Western States,2016,8,0.868136574074074,2017,25,1.140428240740740,Finisher
jodee adams-moore,F,Western States,2016,9,0.871458333333333,,,,DNS
erika hoagland,F,Western States,2016,10,0.880324074074074,,,,DNS
andrew miller,M,Western States,2016,1,0.652500000000000,,,,DNS
didrik hermansen,M,Western States,2016,2,0.677870370370370,,,,DNS
jeff browning,M,Western States,2016,3,0.687962962962963,2017,4,0.730625000000000,Finisher
thomas lorblanchet,M,Western States,2016,4,0.694386574074074,2017,43,0.969189814814815,Finisher
paul giblin,M,Western States,2016,5,0.703703703703704,2017,9,0.749375000000000,Finisher
ian sharman,M,Western States,2016,6,0.704988425925926,2017,7,0.737569444444444,Finisher
chris mocko,M,Western States,2016,7,0.709571759259259,2017,46,0.973969907407407,Finisher
kyle pietari,M,Western States,2016,8,0.711817129629630,2017,10,0.758148148148148,Finisher
christopher denucci,M,Western States,2016,9,0.713854166666667,2017,5,0.733460648148148,Finisher
jesse haynes,M,Western States,2016,10,0.717013888888889,2017,8,0.739155092592593,Finisher
cat bradley,F,Western States,2017,1,0.813541666666667,,,,DNS
magdalena boulet,F,Western States,2017,2,0.825868055555556,,,,DNS
sabrina stanley,F,Western States,2017,3,0.841446759259259,,,,DNS
kaytlyn gerbin,F,Western States,2017,4,0.865914351851852,2018,2,0.777997685185185,Finisher
fiona hayvice,F,Western States,2017,5,0.869062500000000,2018,29,1.060474537037040,Finisher
nicole bitter,F,Western States,2017,6,0.875601851851852,2018,17,0.912013888888889,Finisher
jacqueline merritt,F,Western States,2017,7,0.880127314814815,,,,DNS
ildiko wermescher,F,Western States,2017,8,0.910092592592593,,,,DNS
meghan canfield,F,Western States,2017,9,0.914687500000000,2018,18,0.928344907407407,Finisher
andrea huser,F,Western States,2017,10,0.938715277777778,,,,DNS
ryan sandes,M,Western States,2017,1,0.680289351851852,,,,DNS
alex nichols,M,Western States,2017,2,0.700266203703704,,,,DNS
mark hammond,M,Western States,2017,3,0.703437500000000,2018,3,0.672905092592593,Finisher
jeff browning,M,Western States,2017,4,0.730625000000000,2018,5,0.698252314814815,Finisher
christopher denucci,M,Western States,2017,5,0.733460648148148,,,,DNS
avery collins,M,Western States,2017,6,0.734155092592593,,,,DNS
ian sharman,M,Western States,2017,7,0.737569444444444,2018,4,0.683009259259259,Finisher
jesse haynes,M,Western States,2017,8,0.739155092592593,2018,20,0.811412037037037,Finisher
paul giblin,M,Western States,2017,9,0.749375000000000,2018,9,0.715034722222222,Finisher
kyle pietari,M,Western States,2017,10,0.758148148148148,2018,6,0.704432870370370,Finisher
courtney dauwalter,F,Western States,2018,1,0.727083333333333,2019,,,DNF
kaytlyn gerbin,F,Western States,2018,2,0.777997685185185,2019,6,0.759409722222222,Finisher
lucy bartholomew,F,Western States,2018,3,0.791493055555556,2019,15,0.888692129629630,Finisher
amanda basham,F,Western States,2018,4,0.804155092592593,2019,,,DNF
cecilia flori,F,Western States,2018,5,0.821469907407407,2019,12,0.850289351851852,Finisher
stephanie howe,F,Western States,2018,6,0.823657407407407,,,,DNS
camelia mayfield,F,Western States,2018,7,0.824270833333333,2019,5,0.759386574074074,Finisher
aliza lapierre,F,Western States,2018,8,0.832141203703704,2019,21,0.958530092592593,Finisher
corrine malcolm,F,Western States,2018,9,0.834097222222222,2019,10,0.835057870370370,Finisher
kate elliott,F,Western States,2018,10,0.836550925925926,,,,DNS
jim walmsley,M,Western States,2018,1,0.604212962962963,2019,1,0.589907407407407,Finisher
francois dhaene,M,Western States,2018,2,0.663113425925926,,,,DNS
mark hammond,M,Western States,2018,3,0.672905092592593,2019,5,0.650138888888889,Finisher
ian sharman,M,Western States,2018,4,0.683009259259259,2019,15,0.704328703703704,Finisher
jeff browning,M,Western States,2018,5,0.698252314814815,2019,9,0.663263888888889,Finisher
kyle pietari,M,Western States,2018,6,0.704432870370370,2019,10,0.664039351851852,Finisher
cody reed,M,Western States,2018,7,0.704733796296296,,,,DNS
charlie ware,M,Western States,2018,8,0.707835648148148,2019,26,0.838344907407407,Finisher
paul giblin,M,Western States,2018,9,0.715034722222222,2019,16,0.715023148148148,Finisher
kris brown,M,Western States,2018,10,0.722326388888889,2019,13,0.691226851851852,Finisher
clare gallagher,F,Western States,2019,1,0.724594907407407,,,,DNS
brittany peterson,F,Western States,2019,2,0.732280092592593,,,,DNS
kaci lickteig,F,Western States,2019,3,0.747164351851852,,,,DNS
beth pascall,F,Western States,2019,4,0.754756944444444,,,,DNS
camelia mayfield,F,Western States,2019,5,0.759386574074074,,,,DNS
kaytlyn gerbin,F,Western States,2019,6,0.759409722222222,,,,DNS
nicole bitter,F,Western States,2019,7,0.788356481481482,,,,DNS
kathryn drew,F,Western States,2019,8,0.791064814814815,,,,DNS
addie bracy,F,Western States,2019,9,0.828912037037037,,,,DNS
corrine malcolm,F,Western States,2019,10,0.835057870370370,,,,DNS
jim walmsley,M,Western States,2019,1,0.589907407407407,,,,DNS
jared hazen,M,Western States,2019,2,0.601921296296296,,,,DNS
tom evans,M,Western States,2019,3,0.624814814814815,,,,DNS
matt daniels,M,Western States,2019,4,0.640000000000000,,,,DNS
mark hammond,M,Western States,2019,5,0.650138888888889,,,,DNS
gediminas grinius,M,Western States,2019,6,0.655439814814815,,,,DNS
stephen kersh,M,Western States,2019,7,0.662673611111111,,,,DNS
patrick reagan,M,Western States,2019,8,0.662858796296296,,,,DNS
jeff browning,M,Western States,2019,9,0.663263888888889,,,,DNS
kyle pietari,M,Western States,2019,10,0.664039351851852,,,,DNS
beth pascall,F,Western States,2021,1,0.715763888888889,,,,DNS
ruth croft,F,Western States,2021,2,0.731805555555556,2022,1,0.723263888888889,Finisher
ragna debats,F,Western States,2021,3,0.736956018518519,,,,DNS
brittany peterson,F,Western States,2021,4,0.755347222222222,2022,16,0.927858796296296,Finisher
katie asmuth,F,Western States,2021,5,0.766250000000000,2022,9,0.812800925925926,Finisher
audrey tanguy,F,Western States,2021,6,0.776215277777778,,,,DNS
emily hawgood,F,Western States,2021,7,0.801331018518519,2022,5,0.761134259259259,Finisher
camelia mayfield,F,Western States,2021,8,0.803703703703704,,,,DNS
keely henninger,F,Western States,2021,9,0.821261574074074,2022,,,DNF
kaci lickteig,F,Western States,2021,10,0.824953703703704,2022,18,0.962604166666667,Finisher
jim walmsley,M,Western States,2021,1,0.615289351851852,,,,DNS
tyler green,M,Western States,2021,2,0.674328703703704,2022,4,0.664699074074074,Finisher
drew holmen,M,Western States,2021,3,0.682743055555556,2022,5,0.672916666666667,Finisher
cody lind,M,Western States,2021,4,0.701157407407407,2022,9,0.687245370370370,Finisher
tim tollefson,M,Western States,2021,5,0.705428240740741,2022,21,0.862129629629630,Finisher
kyle pietari,M,Western States,2021,6,0.708726851851852,,,,DNS
stephen kersh,M,Western States,2021,7,0.728750000000000,,,,DNS
hayden hawks,M,Western States,2021,8,0.742210648148148,2022,2,0.657951388888889,Finisher
kyle curtin,M,Western States,2021,9,0.762858796296296,2022,13,0.732164351851852,Finisher
alex nichols,M,Western States,2021,10,0.773078703703704,2022,8,0.686504629629630,Finisher
ruth croft,F,Western States,2022,1,0.723263888888889,,,,DNS
ailsa macdonald,F,Western States,2022,2,0.740810185185185,,,,DNS
marianne hogan,F,Western States,2022,3,0.754027777777778,,,,DNS
luzia buehler,F,Western States,2022,4,0.755925925925926,,,,DNS
emily hawgood,F,Western States,2022,5,0.761134259259259,2023,5,0.726643518518518,Finisher
leah yingling,F,Western States,2022,6,0.772581018518519,2023,9,0.742361111111111,Finisher
taylor nowlin,F,Western States,2022,7,0.782430555555556,2023,6,0.736238425925926,Finisher
camille herron,F,Western States,2022,8,0.786041666666667,2023,,,DNF
katie asmuth,F,Western States,2022,9,0.812800925925926,2023,4,0.722986111111111,Finisher
camille bruyas,F,Western States,2022,10,0.815555555555556,,,,DNS
adam peterman,M,Western States,2022,1,0.634583333333333,,,,DNS
hayden hawks,M,Western States,2022,2,0.657951388888889,2023,,,DNF
arlen glick,M,Western States,2022,3,0.664085648148148,2023,13,0.692534722222222,Finisher
tyler green,M,Western States,2022,4,0.664699074074074,2023,2,0.627881944444444,Finisher
drew holmen,M,Western States,2022,5,0.672916666666667,,,,DNS
ludovic pommeret,M,Western States,2022,6,0.680578703703704,2023,12,0.681875000000000,Finisher
vincent viet,M,Western States,2022,7,0.686365740740741,,,,DNS
alex nichols,M,Western States,2022,8,0.686504629629630,2023,28,0.856365740740741,Finisher
cody lind,M,Western States,2022,9,0.687245370370370,2023,16,0.705115740740741,Finisher
scott traer,M,Western States,2022,10,0.691238425925926,2023,15,0.695000000000000,Finisher
courtney dauwalter,F,Western States,2023,1,0.645520833333333,,,,DNS
katie schide,F,Western States,2023,2,0.697048611111111,2024,1,0.657604166666667,Finisher
eszter csillag,F,Western States,2023,3,0.713831018518518,2024,3,0.696030092592593,Finisher
katie asmuth,F,Western States,2023,4,0.722986111111111,,,,DNS
emily hawgood,F,Western States,2023,5,0.726643518518518,2024,4,0.700497685185185,Finisher
