,Date,Year,Rank,First_Name,Last_Name,Name,City,State,Age,Gender_Div,Div_Place,Time,Ultra_Rank,Status,Race,Race_Loc,Race_Dist
0,"Friday, Jul 15, 2016",2016,1,Jason,Schlarb,Jason Schlarb,Durango,CO,38,M,1,22:58:28,93.59,Finisher,Hard Rock 100,"Silverton, CO",100M
1,"Friday, Jul 15, 2016",2016,1,Kilian,Jornet,Kilian Jornet,Montellà,,28,M,1,22:58:28,98.08,Finisher,Hard Rock 100,"Silverton, CO",100M
2,"Friday, Jul 15, 2016",2016,3,Xavier,Thevenard,Xavier Thevenard,Jougnes,,28,M,3,23:57:10,96.89,Finisher,Hard Rock 100,"Silverton, CO",100M
3,"Friday, Jul 15, 2016",2016,4,Jeff,Browning,Jeff Browning,Bend,OR,44,M,4,25:42:03,91.52,Finisher,Hard Rock 100,"Silverton, CO",100M
4,"Friday, Jul 15, 2016",2016,5,Ryan,Kaiser,Ryan Kaiser,Bend,OR,37,M,5,27:39:16,92.99,Finisher,Hard Rock 100,"Silverton, CO",100M
5,"Friday, Jul 15, 2016",2016,6,Bryan,Williams,Bryan Williams,Lafayette,CO,41,M,6,28:41:19,75.32,Finisher,Hard Rock 100,"Silverton, CO",100M
6,"Friday, Jul 15, 2016",2016,7,Ted,Mahon,Ted Mahon,Aspen,CO,43,M,7,28:52:04,77.1,Finisher,Hard Rock 100,"Silverton, CO",100M
7,"Friday, Jul 15, 2016",2016,8,Anna,Frost,Anna Frost,Dunedin,,34,F,1,29:02:09,94.8,Finisher,Hard Rock 100,"Silverton, CO",100M
8,"Friday, Jul 15, 2016",2016,9,Emma,Roca,Emma Roca,Tallo,,42,F,2,29:36:40,94.85,Finisher,Hard Rock 100,"Silverton, CO",100M
9,"Friday, Jul 15, 2016",2016,10,Grant,Guise,Grant Guise,Albert Town,,36,M,8,30:35:54,88.61,Finisher,Hard Rock 100,"Silverton, CO",100M
10,"Friday, Jul 15, 2016",2016,11,Timothy,Olson,Timothy Olson,Boulder,CO,32,M,9,31:53:36,89.37,Finisher,Hard Rock 100,"Silverton, CO",100M
11,"Friday, Jul 15, 2016",2016,12,Bethany,Lewis,Bethany Lewis,Salt Lake City,UT,38,F,3,31:56:36,94.1,Finisher,Hard Rock 100,"Silverton, CO",100M
12,"Friday, Jul 15, 2016",2016,13,Scott,Jaime,Scott Jaime,Highlands Ranch,CO,46,M,10,32:13:45,87.17,Finisher,Hard Rock 100,"Silverton, CO",100M
13,"Friday, Jul 15, 2016",2016,14,Nick,Coury,Nick Coury,Scottsdale,AZ,28,M,11,32:45:11,86.27,Finisher,Hard Rock 100,"Silverton, CO",100M
14,"Friday, Jul 15, 2016",2016,15,Bryon,Powell,Bryon Powell,Moab,UT,38,M,12,33:01:16,81.06,Finisher,Hard Rock 100,"Silverton, CO",100M
15,"Friday, Jul 15, 2016",2016,16,Kevin,Shilling,Kevin Shilling,Salt Lake City,UT,48,M,13,33:20:20,89.73,Finisher,Hard Rock 100,"Silverton, CO",100M
16,"Friday, Jul 15, 2016",2016,17,Matt,Schrier,Matt Schrier,Salt Lake City,UT,42,M,14,33:43:12,76.19,Finisher,Hard Rock 100,"Silverton, CO",100M
17,"Friday, Jul 15, 2016",2016,18,Darla,Askew,Darla Askew,Bend,OR,43,F,4,33:51:49,91.55,Finisher,Hard Rock 100,"Silverton, CO",100M
