race_id,race_name,race_region,race_date,year,race_type,gender,total_starters,pct_gender_starters,total_dnfs,dnf_rate_pct
22,Bandera,US,1/8/2022,2022,Golden Ticket,F,92,11.83,22,23.91
22,Bandera,US,1/8/2022,2022,Golden Ticket,M,297,38.17,56,18.86
22,Bandera,US,1/8/2022,2022,Golden Ticket,Overall,389,50,78,20.05
23,Bandera,US,1/7/2023,2023,Golden Ticket,F,87,10.88,20,22.99
23,Bandera,US,1/7/2023,2023,Golden Ticket,M,313,39.13,60,19.17
23,Bandera,US,1/7/2023,2023,Golden Ticket,Overall,400,50,80,20
24,Bandera,US,1/13/2024,2024,Non-Golden Ticket,F,80,10.28,14,17.5
24,Bandera,US,1/13/2024,2024,Non-Golden Ticket,M,309,39.72,51,16.5
24,Bandera,US,1/13/2024,2024,Non-Golden Ticket,Overall,389,50,65,16.71
25,Bandera,US,1/11/2025,2025,Non-Golden Ticket,F,69,9.77,23,33.33
25,Bandera,US,1/11/2025,2025,Non-Golden Ticket,M,284,40.23,98,34.51
25,Bandera,US,1/11/2025,2025,Non-Golden Ticket,Overall,353,50,121,34.28
77199,Black Canyon,US,2/13/2021,2021,Non-Golden Ticket,F,124,13.93,24,19.35
77199,Black Canyon,US,2/13/2021,2021,Non-Golden Ticket,M,321,36.07,57,17.76
77199,Black Canyon,US,2/13/2021,2021,Non-Golden Ticket,Overall,445,50,81,18.2
84317,Black Canyon,US,2/13/2022,2022,Golden Ticket,F,210,15.02,43,20.48
84317,Black Canyon,US,2/13/2022,2022,Golden Ticket,M,489,34.98,140,28.63
84317,Black Canyon,US,2/13/2022,2022,Golden Ticket,Overall,699,50,183,26.18
93392,Black Canyon,US,2/18/2023,2023,Golden Ticket,F,227,13.42,40,17.62
93392,Black Canyon,US,2/18/2023,2023,Golden Ticket,M,619,36.58,101,16.32
93392,Black Canyon,US,2/18/2023,2023,Golden Ticket,Overall,846,50,141,16.67
104108,Black Canyon,US,2/10/2024,2024,Golden Ticket,F,277,14.91,55,19.86
104108,Black Canyon,US,2/10/2024,2024,Golden Ticket,M,652,35.09,134,20.55
104108,Black Canyon,US,2/10/2024,2024,Golden Ticket,Overall,929,50,189,20.34
115592,Black Canyon,US,2/8/2025,2025,Golden Ticket,F,298,14.87,71,23.83
115592,Black Canyon,US,2/8/2025,2025,Golden Ticket,M,704,35.13,155,22.02
115592,Black Canyon,US,2/8/2025,2025,Golden Ticket,Overall,1002,50,226,22.55
141021,CCC,Non-US,8/27/2021,2021,Non-Golden Ticket,F,265,6.59,71,26.79
141021,CCC,Non-US,8/27/2021,2021,Non-Golden Ticket,M,1745,43.41,361,20.69
141021,CCC,Non-US,8/27/2021,2021,Non-Golden Ticket,Overall,2010,50,432,21.49
141022,CCC,Non-US,8/26/2022,2022,Non-Golden Ticket,F,330,7.81,83,25.15
141022,CCC,Non-US,8/26/2022,2022,Non-Golden Ticket,M,1782,42.19,302,16.95
141022,CCC,Non-US,8/26/2022,2022,Non-Golden Ticket,Overall,2112,50,385,18.23
141023,CCC,Non-US,9/1/2023,2023,Golden Ticket,F,429,9.63,113,26.34
141023,CCC,Non-US,9/1/2023,2023,Golden Ticket,M,1798,40.37,464,25.81
141023,CCC,Non-US,9/1/2023,2023,Golden Ticket,Overall,2227,50,577,25.91
141024,CCC,Non-US,8/30/2024,2024,Golden Ticket,F,484,10.67,136,28.1
141024,CCC,Non-US,8/30/2024,2024,Golden Ticket,M,1785,39.33,497,27.84
