gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
62321,Festival Des Templiers,anne-lise le quere,F,2,12:53:51,17002,87878,2022-06-25,2022,173,Finisher,FRA,37,20-34,27:31:14,Western States
62321,Festival Des Templiers,vincent viet,M,1,10:52:25,17002,87878,2022-06-25,2022,7,Finisher,FRA,7,35-39,16:28:22,Western States
37542,The Canyons,leah yingling,F,2,10:24:50,17002,87878,2022-06-25,2022,21,Finisher,USA,6,20-34,18:32:31,Western States
37542,The Canyons,aroa sio seijo,F,3,10:27:41,17002,87878,2022-06-25,2022,32,Finisher,ESP,12,40-44,20:18:27,Western States
37542,The Canyons,adam peterman,M,1,8:31:57,17002,87878,2022-06-25,2022,1,Finisher,USA,1,20-34,15:13:48,Western States
37542,The Canyons,jared hazen,M,2,8:47:33,17002,87878,2022-06-25,2022,,DNF,USA,,20-34,,Western States
37542,The Canyons,rod farvard,M,3,9:16:21,17002,87878,2022-06-25,2022,58,Finisher,USA,41,20-34,22:48:51,Western States
81876,Javelina,brittany peterson,F,2,15:47:23,17002,87878,2022-06-25,2022,47,Finisher,USA,16,35-39,22:16:07,Western States
14221,UTMB,ludovic pommeret,M,1,21:38:44,17002,87878,2022-06-25,2022,6,Finisher,FRA,6,45-49,16:20:02,Western States
22,Bandera,jonathan rea,M,1,8:10:00,17002,87878,2022-06-25,2022,24,Finisher,USA,16,20-34,18:52:20,Western States
22,Bandera,tyler fox,M,2,8:14:53,17002,87878,2022-06-25,2022,30,Finisher,USA,19,20-34,19:49:07,Western States
22,Bandera,marianne hogan,F,1,9:17:06,17002,87878,2022-06-25,2022,17,Finisher,CAN,3,20-34,18:05:48,Western States
22,Bandera,ellie pell,F,2,9:49:12,17002,87878,2022-06-25,2022,39,Finisher,USA,14,20-34,21:37:12,Western States
84317,Black Canyon,scott traer,M,2,8:03:07,17002,87878,2022-06-25,2022,10,Finisher,USA,10,40-44,16:35:23,Western States
81876,Javelina,camille herron,F,1,14:03:23,17002,87878,2022-06-25,2022,23,Finisher,USA,8,40-44,18:51:54,Western States
84317,Black Canyon,jeffrey colt,M,3,8:05:14,17002,87878,2022-06-25,2022,11,Finisher,USA,11,20-34,16:51:53,Western States
84317,Black Canyon,dominika stelmach,F,1,9:10:52,17002,87878,2022-06-25,2022,48,Finisher,POL,17,40-44,22:21:55,Western States
84317,Black Canyon,anne-marie madden,F,2,9:23:52,17002,87878,2022-06-25,2022,28,Finisher,CAN,11,40-44,19:38:44,Western States
84317,Black Canyon,taylor nowlin,F,3,9:44:14,17002,87878,2022-06-25,2022,22,Finisher,USA,7,20-34,18:46:42,Western States
14221,UTMB,camille bruyas,F,2,24:09:42,17002,87878,2022-06-25,2022,27,Finisher,FRA,10,20-34,19:34:24,Western States
81876,Javelina,arlen glick,M,1,13:14:51,17002,87878,2022-06-25,2022,3,Finisher,USA,3,20-34,15:56:17,Western States
93392,Black Canyon,janosch kowalczyk,M,2,7:40:00,17002,97204,2023-06-24,2023,11,Finisher,DEU,10,20-34,16:09:19,Western States
93392,Black Canyon,keely henninger,F,1,8:45:30,17002,97204,2023-06-24,2023,,DNF,USA,,20-34,,Western States
37543,The Canyons,priscilla forgie,F,2,10:00:20,17002,97204,2023-06-24,2023,27,Finisher,CAN,8,20-34,17:46:34,Western States
