series_id,gt_race_id,diff_index,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_gender_rank,gt_time,gt_hour,gt_norm,placement_change,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_hour,ws_norm,delta_norm,delta_norm_pct,ws_race
32444,23444,41.42,Nice Cote d Azur,jim walmsley,M,1,1,11:21:05,11.351388888888900,0.274055743333870,0,17002,108752,6/29/2024,2024,1,Finisher,USA,1,20-34,14:13:45,14.229166666666700,0.183129558129558,-0.090926185204312,-33.177989301811600,Western States
29669,126002,41.02,Chianti (UTCC),kilian jornet burgada,M,1,2,10:27:27,10.457500000000000,0.254936616284739,1,17002,119682,6/28/2025,2025,3,Finisher,NOR,3,35-39,14:19:22,14.322777777777800,0.184334334334334,-0.070602281950405,-27.694053125561600,Western States
3753,37544,50.6,The Canyons,rod farvard,M,1,1,8:44:30,8.741666666666670,0.172760210803689,1,17002,108752,6/29/2024,2024,2,Finisher,USA,2,20-34,14:24:15,14.404166666666700,0.185381810381810,0.012621599578121,7.305848678584610,Western States
10254,104108,5,Black Canyon,hayden hawks,M,1,1,7:30:18,7.505000000000000,1.501000000000000,2,17002,108752,6/29/2024,2024,3,Finisher,USA,3,20-34,14:24:31,14.408611111111100,0.185439010439010,-1.315560989560990,-87.645635547034600,Western States
12057,112165,31.63,Javelina,jeff mogavero,M,2,2,12:54:31,12.908611111111100,0.408112902659219,2,17002,119682,6/28/2025,2025,4,Finisher,USA,4,20-34,14:30:11,14.503055555555600,0.186654511654512,-0.221458391004708,-54.264001349065200,Western States
37038,37338,70.9,Grindstone,caleb olson,M,1,1,8:54:43,8.911944444444440,0.125697382855352,4,17002,108752,6/29/2024,2024,5,Finisher,USA,5,20-34,14:40:12,14.670000000000000,0.188803088803089,0.063105705947737,50.204470860269900,Western States
142,14222,100,UTMB,tom evans,M,2,3,20:34:35,20.576388888888900,0.205763888888889,-2,17002,97204,6/24/2023,2023,1,Finisher,GBR,1,20-34,14:40:22,14.672777777777800,0.188838838838839,-0.016925050050050,-8.225471505930490,Western States
141,141023,67.1,CCC,jonathan albon,M,1,1,10:14:25,10.240277777777800,0.152612187448253,5,17002,108752,6/29/2024,2024,6,Finisher,NOR,6,35-39,14:57:01,14.950277777777800,0.192410267410267,0.039798079962014,26.077917253829400,Western States
10254,115592,5,Black Canyon,seth ruhling,M,1,1,7:24:55,7.415277777777780,1.483055555555560,5,17002,119682,6/28/2025,2025,6,Finisher,USA,6,20-34,14:59:36,14.993333333333300,0.192964392964393,-1.290091162591160,-86.988727951455100,Western States
10254,93392,5,Black Canyon,anthony costales,M,1,1,7:32:50,7.547222222222220,1.509444444444440,2,17002,97204,6/24/2023,2023,3,Finisher,USA,3,20-34,15:09:16,15.154444444444400,0.195037895037895,-1.314406549406550,-87.078829184092300,Western States
12057,99186,31.63,Javelina,jonathan rea,M,1,1,12:43:10,12.719444444444400,0.402132293532863,8,17002,108752,6/29/2024,2024,9,Finisher,USA,9,20-34,15:13:10,15.219444444444400,0.195874445874446,-0.206257847658417,-51.291043016310500,Western States
3753,37542,50.6,The Canyons,adam peterman,M,1,1,8:31:57,8.532500000000000,0.168626482213439,0,17002,87878,6/25/2022,2022,1,Finisher,USA,1,20-34,15:13:48,15.230000000000000,0.196010296010296,0.027383813796857,16.239331709592500,Western States
10254,104108,5,Black Canyon,chris myers,M,3,3,7:43:02,7.717222222222220,1.543444444444440,7,17002,108752,6/29/2024,2024,10,Finisher,USA,10,20-34,15:18:25,15.306944444444400,0.197000572000572,-1.346443872443870,-87.236303016304500,Western States
12057,99186,31.63,Javelina,blake slattengren,M,2,2,12:58:07,12.968611111111100,0.410009835950399,9,17002,108752,6/29/2024,2024,11,Finisher,USA,11,20-34,15:18:57,15.315833333333300,0.197114972114972,-0.212894863835427,-51.924330874145600,Western States
895,89523,35.92,Tarawera,daniel jones,M,1,1,7:27:55,7.465277777777780,0.207830673100718,4,17002,97204,6/24/2023,2023,5,Finisher,NZL,5,20-34,15:22:15,15.370833333333300,0.197822822822823,-0.010007850277895,-4.815386549340040,Western States
50001,23,25.35,Bandera,courtney dauwalter,F,1,1,8:59:37,8.993611111111110,0.354777558623712,0,17002,97204,6/24/2023,2023,6,Finisher,USA,1,35-39,15:29:33,15.492500000000000,0.199388674388674,-0.155388884235038,-43.798960914505900,Western States
25273,25373,91.8,Doi Inthanon,ji duo,M,1,1,23:58:49,23.980277777777800,0.261223069474703,11,17002,108752,6/29/2024,2024,12,Finisher,CHN,12,20-34,15:35:30,15.591666666666700,0.200664950664951,-0.060558118809753,-23.182530904154000,Western States
142,14222,100,UTMB,mathieu blanchard,M,1,2,19:54:50,19.913888888888900,0.199138888888889,4,17002,97204,6/24/2023,2023,7,Finisher,FRA,6,35-39,15:37:02,15.617222222222200,0.200993850993851,0.001854962104962,0.931491641493043,Western States
895,89523,35.92,Tarawera,ryan montgomery,M,2,3,8:11:21,8.189166666666670,0.227983481811433,4,17002,97204,6/24/2023,2023,8,Finisher,USA,7,20-34,15:38:35,15.643055555555600,0.201326326326326,-0.026657155485107,-11.692581968352800,Western States
50001,23,25.35,Bandera,jeffrey colt,M,1,1,8:23:54,8.398333333333330,0.331295200525970,7,17002,97204,6/24/2023,2023,9,Finisher,USA,8,20-34,15:42:09,15.702500000000000,0.202091377091377,-0.129203823434593,-38.999606160749200,Western States
3753,73545,50.6,The Canyons,ryan montgomery,M,3,5,8:45:13,8.753611111111110,0.172996267018006,2,17002,119682,6/28/2025,2025,7,Finisher,USA,7,20-34,15:54:29,15.908055555555600,0.204736879736880,0.031740612718874,18.347570884619100,Western States
3753,37543,50.6,The Canyons,cole watson,M,1,1,8:34:38,8.577222222222220,0.169510320597277,8,17002,97204,6/24/2023,2023,10,Finisher,USA,9,20-34,15:54:36,15.910000000000000,0.204761904761905,0.035251584164628,20.796128542744300,Western States
12057,81876,31.63,Javelina,arlen glick,M,1,1,13:14:51,13.247500000000000,0.418827062914954,2,17002,87878,6/25/2022,2022,3,Finisher,USA,3,20-34,15:56:17,15.938055555555600,0.205122980122980,-0.213704082791974,-51.024420748897100,Western States
3753,73545,50.6,The Canyons,hans troyer,M,1,2,8:27:00,8.450000000000000,0.166996047430830,6,17002,119682,6/28/2025,2025,8,Finisher,USA,8,20-34,16:06:52,16.114444444444400,0.207393107393107,0.040397059962277,24.190428805813400,Western States
10254,93392,5,Black Canyon,janosch kowalczyk,M,2,3,7:40:00,7.666666666666670,1.533333333333330,7,17002,97204,6/24/2023,2023,11,Finisher,DEU,10,20-34,16:09:19,16.155277777777800,0.207918632918633,-1.325414700414700,-86.440089157480500,Western States
141,141024,67.1,CCC,peter frano,M,1,2,10:27:17,10.454722222222200,0.155808080808081,7,17002,119682,6/28/2025,2025,9,Finisher,SVK,9,20-34,16:10:44,16.178888888888900,0.208222508222508,0.052414427414427,33.640378048805900,Western States
142,14221,100,UTMB,ludovic pommeret,M,1,4,21:38:44,21.645555555555600,0.216455555555556,2,17002,87878,6/25/2022,2022,6,Finisher,FRA,6,45-49,16:20:02,16.333888888888900,0.210217360217360,-0.006238195338195,-2.881975157525720,Western States
3753,37544,50.6,The Canyons,petter engdahl,M,2,3,8:55:31,8.925277777777780,0.176388888888889,10,17002,108752,6/29/2024,2024,15,Finisher,NOR,13,20-34,16:22:36,16.376666666666700,0.210767910767911,0.034379021879022,19.490469096768300,Western States
895,89525,35.92,Tarawera,hiroki kai,M,1,2,7:48:45,7.812500000000000,0.217497216035635,8,17002,119682,6/28/2025,2025,10,Finisher,JPN,10,20-34,16:22:46,16.379444444444400,0.210803660803661,-0.006693555231974,-3.077536050336050,Western States
623,62321,52.89,Festival Des Templiers,vincent viet,M,1,1,10:52:25,10.873611111111100,0.205589168294784,6,17002,87878,6/25/2022,2022,7,Finisher,FRA,7,35-39,16:28:22,16.472777777777800,0.212004862004862,0.006415693710078,3.120638000188380,Western States
10254,84317,5,Black Canyon,scott traer,M,2,2,8:03:07,8.051944444444440,1.610388888888890,8,17002,87878,6/25/2022,2022,10,Finisher,USA,10,40-44,16:35:23,16.589722222222200,0.213509938509938,-1.396878950378950,-86.741715620178400,Western States
10254,115592,5,Black Canyon,abby hall,F,3,5,8:52:35,8.876388888888890,1.775277777777780,-4,17002,119682,6/28/2025,2025,11,Finisher,USA,1,20-34,16:37:16,16.621111111111100,0.213913913913914,-1.561363863863860,-87.950397588951800,Western States
12057,90708,31.63,Javelina,jonathan rea,M,2,2,13:05:58,13.099444444444400,0.414146204376998,12,17002,97204,6/24/2023,2023,15,Finisher,USA,14,20-34,16:38:33,16.642500000000000,0.214189189189189,-0.199957015187809,-48.281745208459700,Western States
142,14222,100,UTMB,katie schide,F,1,1,23:15:12,23.253333333333300,0.232533333333333,1,17002,97204,6/24/2023,2023,17,Finisher,USA,2,20-34,16:43:45,16.729166666666700,0.215304590304590,-0.017228743028743,-7.409149811672740,Western States
