Date,Year,Rank,Status,Name,Nationality,Gender,Age_Category,Time,Race,Race_Loc,Race_Dist
17-Aug-18,2018,1,Finisher,elan lieber,USA,M,20-34,22:02:08,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,2,Finisher,uldis liepins,USA,M,35-39,22:07:00,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,3,Finisher,blake pierson,USA,M,35-39,23:52:58,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,4,Finisher,daniela seyler palomino,CHILE,F,40-44,24:09:59,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,5,Finisher,kim ammons,GERMANY,F,35-39,26:57:47,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,6,Finisher,dax hock,USA,M,35-39,27:08:45,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,7,Finisher,jaime ortiz,USA,M,55-59,28:18:12,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,8,Finisher,brandon adame,USA,M,40-44,28:27:08,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,9,Finisher,matthew mallon,USA,M,35-39,28:31:18,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,10,Finisher,sarah reusch,USA,F,35-39,28:31:44,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,11,Finisher,joshua stevens,USA,M,45-49,28:38:32,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,12,Finisher,joshua sharp,USA,M,35-39,29:00:20,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,13,Finisher,tonya keyes,USA,F,20-34,29:10:49,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,14,Finisher,ben brown,USA,M,35-39,29:20:01,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,15,Finisher,tracy dimino,USA,F,45-49,29:22:26,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,16,Finisher,waylon smith,USA,M,40-44,29:41:44,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,17,Finisher,emmanuel maximo,USA,M,35-39,29:42:57,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,18,Finisher,travis nelson,USA,M,35-39,29:45:50,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,19,Finisher,mark jolin,USA,M,45-49,30:16:41,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,20,Finisher,steve fry,USA,M,60-64,30:16:41,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,21,Finisher,jose montellano,USA,M,20-34,30:22:37,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,22,Finisher,vasile samartinean,USA,M,40-44,30:29:19,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,23,Finisher,stephen neary,USA,M,20-34,30:31:54,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,24,Finisher,oscar hernandez,USA,M,35-39,30:49:44,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,25,Finisher,simon schenk,AUSTRALIA,M,40-44,30:58:25,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,26,Finisher,neal hinson,USA,M,40-44,31:19:55,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,27,Finisher,eunice abigahil zamora torres,MEXICO,F,35-39,31:30:35,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,28,Finisher,kyle smith,USA,M,20-34,31:45:41,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,29,Finisher,brian hildreth,USA,M,45-49,32:04:20,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,30,Finisher,kenneth fancett,UNITED KINGDOM,M,65-69,32:19:46,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,31,Finisher,steven evers,USA,M,20-34,32:44:22,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,32,Finisher,elizabeth ochoa,USA,F,40-44,32:45:14,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,33,Finisher,benjamin hawes,USA,M,20-34,32:51:11,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,34,Finisher,josh phillips,USA,M,35-39,33:05:37,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,35,Finisher,ian luschin,USA,M,40-44,33:07:49,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,36,Finisher,sigifredo rodriguez-castaneda,USA,M,20-34,33:11:27,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,37,Finisher,ron ely,USA,M,45-49,33:28:16,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,38,Finisher,mark stacy,USA,M,40-44,33:34:41,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,39,Finisher,yi feng,USA,M,60-64,33:45:35,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,40,Finisher,juan cortes,USA,M,55-59,34:00:06,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,41,Finisher,sandra villines,USA,F,45-49,34:03:24,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,42,Finisher,amanda debevc,USA,F,40-44,34:14:32,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,43,Finisher,alberto guerrero,USA,M,45-49,34:15:37,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,44,Finisher,alex ochoa,USA,M,20-34,34:19:28,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,45,Finisher,tim davis,USA,M,40-44,34:19:44,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,46,Finisher,taylor stanfill,USA,M,20-34,34:20:08,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,47,Finisher,scott voigt,USA,M,20-34,34:20:08,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,48,Finisher,thaddeus gilliam,USA,M,20-34,34:20:11,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,49,Finisher,yan gao,CHINA,M,45-49,34:20:39,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,50,Finisher,evelyn trotter,USA,F,40-44,34:40:03,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,51,Finisher,joseph sandoval,USA,M,20-34,34:47:48,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,52,Finisher,darryl shedarowich,USA,M,55-59,34:47:54,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,53,Finisher,peter johnson,UNITED KINGDOM,M,65-69,35:10:07,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,54,Finisher,dominick volini,USA,M,35-39,35:12:46,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,55,Finisher,jeremy manke,USA,M,35-39,35:13:31,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,56,Finisher,james blackwell,USA,M,20-34,35:16:26,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,57,Finisher,joshua canning,USA,M,35-39,35:20:11,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,58,Finisher,george briones,USA,M,20-34,35:24:33,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,59,Finisher,alfredo rodriguez,USA,M,20-34,35:25:17,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,60,Finisher,larry hall,USA,M,60-64,35:30:29,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,61,Finisher,brian culleton,USA,M,35-39,35:38:21,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,62,Finisher,rachel hill,USA,F,40-44,35:43:05,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,63,Finisher,meaghan jennings,USA,F,35-39,35:51:49,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,64,Finisher,nicholas robertson,USA,M,35-39,35:56:55,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,scott warren,USA,M,55-59,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,michael borst,USA,M,20-34,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,johnathon craig,USA,M,20-34,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,jeff ball,USA,M,20-34,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,rokas zickevicius,USA,M,20-34,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,arturo gonzales,MEXICO,M,35-39,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,mariano corona,USA,M,35-39,-,Kodiak 100M,"Big Bear Lake, CA",100M
17-Aug-18,2018,DNF,DNF,mario martinez,USA,M,40-44,-,Kodiak 100M,"Big Bear Lake, CA",100M
